x,Collection#,Species,Genus,Subfam,Figure
AUM_48767_Peckoltia_sabaji-1.txt.final.txt.final,AUM-48767,Peckoltia_sabaji,Peckoltia,Hypostominae,P. sab
AUM_50295_Ancistrus_nudiceps_1.txt.final.txt.final,AUM-50295,Ancistrus_nudiceps,Ancistrus,Hypostominae,A. nud
AUM_51152_Ancistrus_marcapatae-1.txt.final.txt.final,AUM-51152,Ancistrus_marcapatae,Ancistrus,Hypostominae,A. mar
AUM_51152_Ancistrus_marcapatae-3.txt.final.txt.final,AUM-51152,Ancistrus_marcapatae,Ancistrus,Hypostominae,A. mar
AUM_51152_Ancistrus_marcapatae-4.txt.final.txt.final,AUM-51152,Ancistrus_marcapatae,Ancistrus,Hypostominae,A. mar
AUM_51152_Ancistrus_marcapatae-5.txt.final.txt.final,AUM-51152,Ancistrus_marcapatae,Ancistrus,Hypostominae,A. mar
AUM_51201_Chaetostoma_lineopunctatum-1.txt.final.txt.final,AUM-51201,Chaetostoma_lineopunctatum,Chaetostoma,Hypostominae,C. lin
AUM_51201_Chaetostoma_lineopunctatum-3.txt.final.txt.final,AUM-51201,Chaetostoma_lineopunctatum,Chaetostoma,Hypostominae,C. lin
AUM_51341_Chaetostoma_lineopunctatum-1.txt.final.txt.final,AUM-51341,Chaetostoma_lineopunctatum,Chaetostoma,Hypostominae,C. lin
AUM_51341_Chaetostoma_lineopunctatum-2.txt.final.txt.final,AUM-51341,Chaetostoma_lineopunctatum,Chaetostoma,Hypostominae,C. lin
AUM_51341_Chaetostoma_lineopunctatum-3.txt.final.txt.final,AUM-51341,Chaetostoma_lineopunctatum,Chaetostoma,Hypostominae,C. lin
AUM_51341_Chaetostoma_lineopunctatum-4.txt.final.txt.final,AUM-51341,Chaetostoma_lineopunctatum,Chaetostoma,Hypostominae,C. lin
AUM_53523_Hemiancistrus_cf.guahiborum-1.txt.final.txt.final,AUM-53523,Hemiancistrus_guahiborum,Hemiancistrus,Hypostominae,H. cf.
AUM_53526_Ancistrus_macrophthalmus-1.txt.final.txt.final,AUM-53526,Ancistrus_macrophthalmus,Ancistrus,Hypostominae,A. mac
AUM_53528_Hypancistrus_debilittera-1.txt.final.txt.final,AUM-53528,Hypancistrus_debilittera,Hypancistrus,Hypostominae,H. deb
AUM_53761_Lasiancistrus_tentaculatus-1.txt.final.txt.final,AUM-53761,Lasiancistrus_tentaculatus,Lasiancistrus,Hypostominae,L. ten
AUM_53761_Lasiancistrus_tentaculatus-3.txt.final.txt.final,AUM-53761,Lasiancistrus_tentaculatus,Lasiancistrus,Hypostominae,L. ten
AUM_53821_Hemiancistrus_guahiborum-1.txt.final.txt.final,AUM-53821,Hemiancistrus_guahiborum,Hemiancistrus,Hypostominae,H. gua
AUM_54016_Ancistrus_triradiatus_1.txt.final.txt.final,AUM-54016,Ancistrus_triradiatus,Ancistrus,Hypostominae,A. tri
AUM_54029_Leporacanthicus-cf._galaxias-1.txt.final.txt.final,AUM-54029,Leporacanthicus-cf._galaxias,Leporacanthicus-cf.,Hypostominae,L. gal
AUM_54029_Leporacanthicus-cf._galaxias-2.txt.final.txt.final,AUM-54029,Leporacanthicus-cf._galaxias,Leporacanthicus-cf.,Hypostominae,L. gal
AUM_54033_Peckoltia_lineola-1.txt.final.txt.final,AUM-54033,Peckoltia_lineola,Peckoltia,Hypostominae,P. lin
AUM_54033_Peckoltia_lineola-2.txt.final.txt.final,AUM-54033,Peckoltia_lineola,Peckoltia,Hypostominae,P. lin
AUM_54047_Ancistrus_triradiatus-1.txt.final.txt.final,AUM-54047,Ancistrus_triradiatus,Ancistrus,Hypostominae,A. tri
AUM_54047_Ancistrus_triradiatus-3.txt.final.txt.final,AUM-54047,Ancistrus_triradiatus,Ancistrus,Hypostominae,A. tri
AUM_54047_Ancistrus_triradiatus-4.txt.final.txt.final,AUM-54047,Ancistrus_triradiatus,Ancistrus,Hypostominae,A. tri
AUM_54047_Ancistrus_triradiatus-ROM-ICH.txt.final.txt.final,AUM-54047,Ancistrus_triradiatus,Ancistrus,Hypostominae,A. tri
AUM_54310_Pseudancistrus_sidereus-1.txt.final.txt.final,AUM-54310,Pseudancistrus_sidereus,Pseudancistrus,Hypostominae,P. sid
AUM_54463_Hypancistrus_furunculus-1.txt.final.txt.final,AUM-54463,Hypancistrus_furunculus,Hypancistrus,Hypostominae,H. fur
AUM_54474_Dekeyseria_scaphirhyncha-2.txt.final.txt.final,AUM-54474,Dekeyseria_scaphirhynchus,Dekeyseria,Hypostominae,D. sca
AUM_54474_Dekeyseria_scaphirhyncha-3.txt.final.txt.final,AUM-54474,Dekeyseria_scaphirhynchus,Dekeyseria,Hypostominae,D. sca
